sNoPlace,nLongitude,nLatitude,nPositionCentreLongitude,nPositionCentreLatitude,sStatut,sGenre,sType,sAutreTete,sNomRue,nSupVelo,sTypeExploitation,nTarifHoraire,sLocalisation,nTarifMax
A024,-73.586753255839867000,45.491879718506389000,-73.586752214336698000,45.491921258281472000,1,NORMAL,Double,A025,Lambert-Closse,0,Régulier Payez-Partez,400,S,
A025,-73.586753255839867000,45.491879718506389000,-73.586694886950411000,45.491887824230353000,1,NORMAL,Double,A024,Lambert-Closse,0,Régulier Payez-Partez,400,S,
A026,-73.586639682249057000,45.491806926373968000,-73.586635790472840000,45.491854076673185000,1,NORMAL,Simple,,Lambert-Closse,0,Régulier Payez-Partez,400,S,
A027,-73.586580594731586000,45.491772355504871000,-73.586575675983511000,45.491817939294904000,1,NORMAL,Double,A028,Lambert-Closse,0,Régulier Payez-Partez,400,S,
A028,-73.586580594731586000,45.491772355504871000,-73.586518704797527000,45.491785976282266000,1,NORMAL,Double,A027,Lambert-Closse,0,Régulier Payez-Partez,400,S,
A029,-73.586462460828557000,45.491703388617161000,-73.586455262928439000,45.491748642005732000,1,NORMAL,Double,A030,Lambert-Closse,0,Régulier Payez-Partez,400,S,
A030,-73.586462460828557000,45.491703388617161000,-73.586401759134063000,45.491717979521994000,1,NORMAL,Double,A029,Lambert-Closse,0,Régulier Payez-Partez,400,S,
A031,-73.586344142527224000,45.491634578400699000,-73.586337311786252000,45.491680972958939000,1,NORMAL,Double,A032,Lambert-Closse,0,Régulier Payez-Partez,400,S,
A032,-73.586344142527224000,45.491634578400699000,-73.586281345547235000,45.491648454412214000,1,NORMAL,Double,A031,Lambert-Closse,0,Régulier Payez-Partez,400,S,
A042,-73.581350504631203000,45.491693947675913000,-73.581362608122760000,45.491731095529403000,1,NORMAL,Double,A043,Fort,1,Régulier Payez-Partez,400,S,
A043,-73.581350504631203000,45.491693947675913000,-73.581297589018774000,45.491693420326655000,1,NORMAL,Double,A042,Fort,1,Régulier Payez-Partez,400,S,
A044,-73.581222539191913000,45.491619221470224000,-73.581233174444975000,45.491656095330804000,1,NORMAL,Double,A045,Fort,1,Régulier Payez-Partez,400,S,
A045,-73.581222539191913000,45.491619221470224000,-73.581172228466940000,45.491620780132386000,1,NORMAL,Double,A044,Fort,1,Régulier Payez-Partez,400,S,
A046,-73.581094183189094000,45.491544935220048000,-73.581104304473854000,45.491581421426901000,1,NORMAL,Simple,,Fort,1,Régulier Payez-Partez,400,S,
A133,-73.588656043203585000,45.490465563801472000,-73.588723145565538000,45.490465480520918000,1,NORMAL,Double,A134,Sherbrooke,1,Régulier Payez-Partez,400,S,
A134,-73.588656043203585000,45.490465563801472000,-73.588671596958719000,45.490512125324734000,1,NORMAL,Double,A133,Sherbrooke,1,Régulier Payez-Partez,400,S,
A135,-73.588554913382723000,45.490558191306313000,-73.588620048266719000,45.490558770104990000,1,NORMAL,Double,A136,Sherbrooke,1,Régulier Payez-Partez,400,S,
A136,-73.588554913382723000,45.490558191306313000,-73.588569357262045000,45.490604638693036000,1,NORMAL,Double,A135,Sherbrooke,1,Régulier Payez-Partez,400,S,
A137,-73.588452503871295000,45.490650828709462000,-73.588518282457116000,45.490650854471092000,1,NORMAL,Double,A138,Sherbrooke,1,Régulier Payez-Partez,400,S,
A138,-73.588452503871295000,45.490650828709462000,-73.588467207568542000,45.490697070225998000,1,NORMAL,Double,A137,Sherbrooke,1,Régulier Payez-Partez,400,S,
A158,-73.587324855128443000,45.491937286736409000,-73.587309843460574000,45.491891622449067000,1,NORMAL,Double,A159,Sherbrooke,1,Régulier Payez-Partez,400,S,
A159,-73.587324855128443000,45.491937286736409000,-73.587254083725327000,45.491928525769701000,1,NORMAL,Double,A158,Sherbrooke,1,Régulier Payez-Partez,400,S,
A160,-73.587216286199890000,45.492012722684876000,-73.587198323917391000,45.491965429062930000,1,NORMAL,Double,A161,Sherbrooke,1,Régulier Payez-Partez,400,S,
A161,-73.587216286199890000,45.492012722684876000,-73.587147088095065000,45.491999338198255000,1,NORMAL,Double,A160,Sherbrooke,1,Régulier Payez-Partez,400,S,
A167,-73.586822207597749000,45.492256745845033000,-73.586811891364150000,45.492209815267358000,1,NORMAL,Double,A168,Sherbrooke,0,Régulier Payez-Partez,400,S,
A168,-73.586822207597749000,45.492256745845033000,-73.586753187562152000,45.492244831378109000,1,NORMAL,Double,A167,Sherbrooke,0,Régulier Payez-Partez,400,S,
A169,-73.586698944578274000,45.492328827045746000,-73.586692161194605000,45.492281232793651000,1,NORMAL,Double,A170,Sherbrooke,0,Régulier Payez-Partez,400,S,
A170,-73.586698944578274000,45.492328827045746000,-73.586630690974445000,45.492317898880160000,1,NORMAL,Double,A169,Sherbrooke,0,Régulier Payez-Partez,400,S,
A171,-73.586577296696191000,45.492403120506388000,-73.586569220674619000,45.492354564933400000,1,NORMAL,Double,A172,Sherbrooke,0,Régulier Payez-Partez,400,S,
A172,-73.586577296696191000,45.492403120506388000,-73.586507750294899000,45.492391230954262000,1,NORMAL,Double,A171,Sherbrooke,0,Régulier Payez-Partez,400,S,
A173,-73.586454726324362000,45.492476766646547000,-73.586446279835371000,45.492427896940981000,1,NORMAL,Double,A174,Sherbrooke,0,Régulier Payez-Partez,400,S,
A174,-73.586454726324362000,45.492476766646547000,-73.586384809296064000,45.492464562894476000,1,NORMAL,Double,A173,Sherbrooke,0,Régulier Payez-Partez,400,S,
A175,-73.586330900223956000,45.492549378781831000,-73.586323338676962000,45.492501228814696000,1,NORMAL,Double,A176,Sherbrooke,0,Régulier Payez-Partez,400,S,
A176,-73.586330900223956000,45.492549378781831000,-73.586261867978081000,45.492537894701655000,1,NORMAL,Double,A175,Sherbrooke,0,Régulier Payez-Partez,400,S,
A190,-73.585446357260565000,45.493079296496873000,-73.585386667780028000,45.493059923134766000,1,NORMAL,Simple,,Sherbrooke,1,Régulier Payez-Partez,400,S,
A194,-73.585150972871503000,45.493255967596475000,-73.585144246339425000,45.493203489843118000,1,NORMAL,Double,A195,Sherbrooke,0,Régulier Payez-Partez,400,S,
A195,-73.585150972871503000,45.493255967596475000,-73.585079079107416000,45.493242724138938000,1,NORMAL,Double,A194,Sherbrooke,0,Régulier Payez-Partez,400,S,
A196,-73.585050078567775000,45.493316692286889000,-73.585019312395190000,45.493278706941425000,1,NORMAL,Simple,,Sherbrooke,0,Régulier Payez-Partez,400,S,
A204,-73.584546198700465000,45.493641667265244000,-73.584519230323750000,45.493597459614413000,1,NORMAL,Double,A205,Sherbrooke,1,Régulier Payez-Partez,400,S,
